KEGG_pathway	Description	0505-0101	R1W5
ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]	0.6074766355140186	0.5607476635514018
ko00020	Citrate cycle (TCA cycle) [PATH:ko00020]	0.5714285714285714	0.5714285714285714
ko00030	Pentose phosphate pathway [PATH:ko00030]	0.4823529411764706	0.43529411764705883
ko00040	Pentose and glucuronate interconversions [PATH:ko00040]	0.4823529411764706	0.5294117647058824
ko00051	Fructose and mannose metabolism [PATH:ko00051]	0.5315315315315315	0.4954954954954955
ko00052	Galactose metabolism [PATH:ko00052]	0.5256410256410257	0.48717948717948717
ko00053	Ascorbate and aldarate metabolism [PATH:ko00053]	0.3387096774193548	0.3225806451612903
ko00500	Starch and sucrose metabolism [PATH:ko00500]	0.5566037735849056	0.5754716981132075
ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	0.5192307692307693	0.5512820512820513
ko00620	Pyruvate metabolism [PATH:ko00620]	0.5984251968503937	0.5039370078740157
ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.4752475247524752	0.4752475247524752
ko00640	Propanoate metabolism [PATH:ko00640]	0.5208333333333334	0.4895833333333333
ko00650	Butanoate metabolism [PATH:ko00650]	0.5363636363636364	0.43636363636363634
ko00660	C5-Branched dibasic acid metabolism [PATH:ko00660]	0.3448275862068966	0.3103448275862069
ko00562	Inositol phosphate metabolism [PATH:ko00562]	0.23684210526315788	0.21052631578947367
ko00190	Oxidative phosphorylation [PATH:ko00190]	0.2191780821917808	0.2054794520547945
ko00195	Photosynthesis [PATH:ko00195]	0.12698412698412698	0.12698412698412698
ko00710	Carbon fixation in photosynthetic organisms [PATH:ko00710]	0.5277777777777778	0.5
ko00720	Carbon fixation pathways in prokaryotes [PATH:ko00720]	0.45535714285714285	0.4732142857142857
ko00680	Methane metabolism [PATH:ko00680]	0.4512820512820513	0.27692307692307694
ko00910	Nitrogen metabolism [PATH:ko00910]	0.4	0.36923076923076925
ko00920	Sulfur metabolism [PATH:ko00920]	0.3669724770642202	0.3944954128440367
ko00061	Fatty acid biosynthesis [PATH:ko00061]	0.43902439024390244	0.4634146341463415
ko00071	Fatty acid degradation [PATH:ko00071]	0.27586206896551724	0.22413793103448276
ko00121	Secondary bile acid biosynthesis [PATH:ko00121]	0.2	0.2
ko00561	Glycerolipid metabolism [PATH:ko00561]	0.25555555555555554	0.28888888888888886
ko00564	Glycerophospholipid metabolism [PATH:ko00564]	0.26956521739130435	0.25217391304347825
ko00600	Sphingolipid metabolism [PATH:ko00600]	0.2	0.24
ko00230	Purine metabolism [PATH:ko00230]	0.37962962962962965	0.35185185185185186
ko00240	Pyrimidine metabolism [PATH:ko00240]	0.5727272727272728	0.5181818181818182
ko00250	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	0.5571428571428572	0.5142857142857142
ko00260	Glycine, serine and threonine metabolism [PATH:ko00260]	0.4854368932038835	0.4077669902912621
ko00270	Cysteine and methionine metabolism [PATH:ko00270]	0.43902439024390244	0.4146341463414634
ko00280	Valine, leucine and isoleucine degradation [PATH:ko00280]	0.34285714285714286	0.34285714285714286
ko00290	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	0.6842105263157895	0.7368421052631579
ko00300	Lysine biosynthesis [PATH:ko00300]	0.4897959183673469	0.40816326530612246
ko00310	Lysine degradation [PATH:ko00310]	0.24175824175824176	0.2087912087912088
ko00220	Arginine biosynthesis [PATH:ko00220]	0.3770491803278688	0.4098360655737705
ko00330	Arginine and proline metabolism [PATH:ko00330]	0.3925233644859813	0.37383177570093457
ko00340	Histidine metabolism [PATH:ko00340]	0.44680851063829785	0.46808510638297873
ko00350	Tyrosine metabolism [PATH:ko00350]	0.25	0.2261904761904762
ko00360	Phenylalanine metabolism [PATH:ko00360]	0.33783783783783783	0.22972972972972974
ko00380	Tryptophan metabolism [PATH:ko00380]	0.175	0.125
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	0.4507042253521127	0.4788732394366197
ko00410	beta-Alanine metabolism [PATH:ko00410]	0.4222222222222222	0.26666666666666666
ko00430	Taurine and hypotaurine metabolism [PATH:ko00430]	0.38461538461538464	0.4230769230769231
ko00440	Phosphonate and phosphinate metabolism [PATH:ko00440]	0.25	0.3181818181818182
ko00450	Selenocompound metabolism [PATH:ko00450]	0.6363636363636364	0.5454545454545454
ko00460	Cyanoamino acid metabolism [PATH:ko00460]	0.25	0.2222222222222222
ko00470	D-Amino acid metabolism [PATH:ko00470]	0.33962264150943394	0.41509433962264153
ko00480	Glutathione metabolism [PATH:ko00480]	0.24561403508771928	0.2631578947368421
ko00531	Glycosaminoglycan degradation [PATH:ko00531]	0.3333333333333333	0.3333333333333333
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603]	0.2	0.2
ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]	0.5806451612903226	0.5483870967741935
ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	0.3917525773195876	0.422680412371134
ko00550	Peptidoglycan biosynthesis [PATH:ko00550]	0.660377358490566	0.6415094339622641
ko00552	Teichoic acid biosynthesis [PATH:ko00552]	0.24390243902439024	0.3902439024390244
ko00511	Other glycan degradation [PATH:ko00511]	0.5454545454545454	0.5454545454545454
ko00571	Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	0.14285714285714285	0
ko00572	Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.16666666666666666	0
ko00730	Thiamine metabolism [PATH:ko00730]	0.5833333333333334	0.5277777777777778
ko00740	Riboflavin metabolism [PATH:ko00740]	0.2962962962962963	0.3333333333333333
ko00750	Vitamin B6 metabolism [PATH:ko00750]	0.375	0.4166666666666667
ko00760	Nicotinate and nicotinamide metabolism [PATH:ko00760]	0.3157894736842105	0.29473684210526313
ko00770	Pantothenate and CoA biosynthesis [PATH:ko00770]	0.6136363636363636	0.5227272727272727
ko00780	Biotin metabolism [PATH:ko00780]	0.6666666666666666	0.5416666666666666
ko00785	Lipoic acid metabolism [PATH:ko00785]	0.23076923076923078	0.3076923076923077
ko00790	Folate biosynthesis [PATH:ko00790]	0.39285714285714285	0.39285714285714285
ko00670	One carbon pool by folate [PATH:ko00670]	0.4146341463414634	0.4146341463414634
ko00860	Porphyrin metabolism [PATH:ko00860]	0.37410071942446044	0.35251798561151076
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	0.3728813559322034	0.3050847457627119
ko00900	Terpenoid backbone biosynthesis [PATH:ko00900]	0.3492063492063492	0.3492063492063492
ko00903	Limonene and pinene degradation [PATH:ko00903]	0.4166666666666667	0.25
ko00281	Geraniol degradation [PATH:ko00281]	0.375	0.1875
ko01053	Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	0.15789473684210525	0.13157894736842105
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	0.21875	0.1875
ko00311	Penicillin and cephalosporin biosynthesis [PATH:ko00311]	0.1875	0.1875
ko00332	Carbapenem biosynthesis [PATH:ko00332]	0.10526315789473684	0.15789473684210525
ko00261	Monobactam biosynthesis [PATH:ko00261]	0.32142857142857145	0.32142857142857145
ko00521	Streptomycin biosynthesis [PATH:ko00521]	0.5714285714285714	0.5238095238095238
ko00525	Acarbose and validamycin biosynthesis [PATH:ko00525]	0.1111111111111111	0
ko00401	Novobiocin biosynthesis [PATH:ko00401]	0.16666666666666666	0.2
ko00405	Phenazine biosynthesis [PATH:ko00405]	0.1875	0.1875
ko00333	Prodigiosin biosynthesis [PATH:ko00333]	0.15	0.15
ko00999	Biosynthesis of various plant secondary metabolites [PATH:ko00999]	0.10526315789473684	0.10526315789473684
ko00362	Benzoate degradation [PATH:ko00362]	0.2358490566037736	0.16037735849056603
ko00627	Aminobenzoate degradation [PATH:ko00627]	0.1728395061728395	0.12345679012345678
ko00364	Fluorobenzoate degradation [PATH:ko00364]	0.1111111111111111	0
ko00625	Chloroalkane and chloroalkene degradation [PATH:ko00625]	0.2558139534883721	0.2558139534883721
ko00622	Xylene degradation [PATH:ko00622]	0.20588235294117646	0.14705882352941177
ko00633	Nitrotoluene degradation [PATH:ko00633]	0.5	0.4090909090909091
ko00643	Styrene degradation [PATH:ko00643]	0.32	0.24
ko00791	Atrazine degradation [PATH:ko00791]	0.125	0.1875
ko00930	Caprolactam degradation [PATH:ko00930]	0.2727272727272727	0.22727272727272727
ko00363	Bisphenol degradation [PATH:ko00363]	0.5	0
ko00621	Dioxin degradation [PATH:ko00621]	0.16129032258064516	0.12903225806451613
ko00626	Naphthalene degradation [PATH:ko00626]	0.20689655172413793	0.1724137931034483
ko00982	Drug metabolism - cytochrome P450 [PATH:ko00982]	0.12	0.16
ko00983	Drug metabolism - other enzymes [PATH:ko00983]	0.5	0.4375
ko03020	RNA polymerase [PATH:ko03020]	0.16417910447761194	0
ko03010	Ribosome [PATH:ko03010]	0.4195804195804196	0.38461538461538464
ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]	0.4696969696969697	0.45454545454545453
ko03060	Protein export [PATH:ko03060]	0.48717948717948717	0.46153846153846156
ko04122	Sulfur relay system [PATH:ko04122]	0.5172413793103449	0.4827586206896552
ko03018	RNA degradation [PATH:ko03018]	0.24050632911392406	0.22784810126582278
ko03030	DNA replication [PATH:ko03030]	0.4166666666666667	0.2833333333333333
ko03410	Base excision repair [PATH:ko03410]	0.3953488372093023	0.4186046511627907
ko03420	Nucleotide excision repair [PATH:ko03420]	0.2127659574468085	0.19148936170212766
ko03430	Mismatch repair [PATH:ko03430]	0.5	0.4090909090909091
ko03440	Homologous recombination [PATH:ko03440]	0.3333333333333333	0.2777777777777778
ko02010	ABC transporters [PATH:ko02010]	0.48443579766536965	0.433852140077821
ko02060	Phosphotransferase system (PTS) [PATH:ko02060]	0.7746478873239436	0.5915492957746479
ko03070	Bacterial secretion system [PATH:ko03070]	0.33783783783783783	0.36486486486486486
ko02020	Two-component system [PATH:ko02020]	0.357429718875502	0.3413654618473896
ko04146	Peroxisome [PATH:ko04146]	0.136986301369863	0.1095890410958904
ko04112	Cell cycle - Caulobacter [PATH:ko04112]	0.3870967741935484	0.5161290322580645
ko02024	Quorum sensing [PATH:ko02024]	0.2624113475177305	0.28368794326241137
ko05111	Biofilm formation - Vibrio cholerae [PATH:ko05111]	0.2169811320754717	0.2169811320754717
ko02025	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	0.18888888888888888	0.2222222222222222
ko02026	Biofilm formation - Escherichia coli [PATH:ko02026]	0.36065573770491804	0.3114754098360656
ko02030	Bacterial chemotaxis [PATH:ko02030]	0.7692307692307693	0.7307692307692307
ko02040	Flagellar assembly [PATH:ko02040]	0.6545454545454545	0.6181818181818182
ko04922	Glucagon signaling pathway [PATH:ko04922]	0.14035087719298245	0.15789473684210525
ko04964	Proximal tubule bicarbonate reclamation [PATH:ko04964]	0.21428571428571427	0.21428571428571427
ko05230	Central carbon metabolism in cancer [PATH:ko05230]	0.16326530612244897	0.20408163265306123
ko05134	Legionellosis [PATH:ko05134]	0.13043478260869565	0
ko01501	beta-Lactam resistance [PATH:ko01501]	0.21428571428571427	0.20535714285714285
ko01502	Vancomycin resistance [PATH:ko01502]	0.8181818181818182	0.8181818181818182
ko01503	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]	0.42592592592592593	0.3888888888888889
ko01523	Antifolate resistance [PATH:ko01523]	0.15384615384615385	0.15384615384615385
ko01002	Peptidases and inhibitors [BR:ko01002]	0.15416238437821173	0.14388489208633093
ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	0.3225806451612903	0.32903225806451614
ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	0.6818181818181818	0.625
ko01004	Lipid biosynthesis proteins [BR:ko01004]	0.16326530612244897	0.16326530612244897
ko01006	Prenyltransferases [BR:ko01006]	0.19607843137254902	0.19607843137254902
ko01007	Amino acid related enzymes [BR:ko01007]	0.5555555555555556	0.5277777777777778
ko03000	Transcription factors [BR:ko03000]	0.1187683284457478	0
ko03021	Transcription machinery [BR:ko03021]	0.10778443113772455	0
ko03011	Ribosome [BR:ko03011]	0.3191489361702128	0.2925531914893617
ko03009	Ribosome biogenesis [BR:ko03009]	0.17675544794188863	0.15980629539951574
ko03016	Transfer RNA biogenesis [BR:ko03016]	0.37453183520599254	0.3333333333333333
ko03012	Translation factors [BR:ko03012]	0.24731182795698925	0.1827956989247312
ko03110	Chaperones and folding catalysts [BR:ko03110]	0.18772563176895307	0.18050541516245489
ko03032	DNA replication proteins [BR:ko03032]	0.234375	0.17708333333333334
ko03400	DNA repair and recombination proteins [BR:ko03400]	0.21443736730360935	0.20169851380042464
ko02000	Transporters [BR:ko02000]	0.3426791277258567	0.29906542056074764
ko02044	Secretion system [BR:ko02044]	0.2459016393442623	0.19437939110070257
ko02042	Bacterial toxins [BR:ko02042]	0.10112359550561797	0.11235955056179775
ko02022	Two-component system [BR:ko02022]	0.30038022813688214	0.3041825095057034
ko02035	Bacterial motility proteins [BR:ko02035]	0.46710526315789475	0.40131578947368424
ko02048	Prokaryotic defense system [BR:ko02048]	0.3770491803278688	0.41530054644808745
ko01504	Antimicrobial resistance genes [BR:ko01504]	0.2109704641350211	0.22362869198312235
ko99980	Enzymes with EC numbers	0.17279666897987508	0.17626648160999306
ko99981	Carbohydrate metabolism	0.36	0.28
ko99982	Energy metabolism	0.35772357723577236	0.18699186991869918
ko99984	Nucleotide metabolism	0.5	0.5
ko99985	Amino acid metabolism	0.43478260869565216	0.5217391304347826
ko99986	Glycan metabolism	0.24390243902439024	0.1951219512195122
ko99987	Cofactor metabolism	0.23809523809523808	0.14285714285714285
ko99999	Others	0.3	0.3
ko99973	Transcription	0.11538461538461539	0.1346153846153846
ko99974	Translation	0.3333333333333333	0.2
ko99975	Protein processing	0.5428571428571428	0.5428571428571428
ko99976	Replication and repair	0.559322033898305	0.5084745762711864
ko99998	Others	0.16666666666666666	0.3333333333333333
ko99977	Transport	0.5555555555555556	0.5555555555555556
ko99978	Cell growth	0.3484848484848485	0.38636363636363635
ko99992	Structural proteins	0.22	0.21
ko99994	Others	0.20754716981132076	0.22641509433962265
ko99979	Unclassified viral proteins	0.6	0.6
ko99996	General function prediction only	0.3620689655172414	0.25862068965517243
ko00965	Betalain biosynthesis [PATH:ko00965]	0	0.2857142857142857
ko00365	Furfural degradation [PATH:ko00365]	0	0.25
ko04066	HIF-1 signaling pathway [PATH:ko04066]	0	0.11842105263157894
ko04142	Lysosome [PATH:ko04142]	0	0.1111111111111111
ko04212	Longevity regulating pathway - worm [PATH:ko04212]	0	0.10526315789473684
